"id","name","college","dept","title","is_asst","pub_year","pub_total","color","is_cfep","cfep_cluster"
"fyyamane","Yalcin Yamaner","College of Engineering","Electrical and Computer Engineering","","False","6","76","#0072B2","False",""
"ycheng20","Alice Cheng","College of Humanities and Social Sciences","Communication","","False","2","74","#CC79A7","False",""
"asanmig","Adriana San Miguel","College of Engineering","Chemical and Biomolecular Engineering","","False","1","55","#0072B2","False",""
"eesantis","Erik Santiso","College of Engineering","Chemical and Biomolecular Engineering","","False","7","63","#0072B2","False",""
"mkleine","Manuel Kleiner","College of Agriculture and Life Sciences","Plant and Microbial Biology","","False","8","122","#E69F00","False",""
"drpanthe","Dilip Panthee","College of Agriculture and Life Sciences","Horticultural Science","","False","4","79","#E69F00","False",""
"nrvinuez","Nelson Vinueza Benitez","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","5","54","#1ABC9C","False",""
"rbrober2","Reade Roberts","College of Sciences","Biological Sciences","","False","1","33","#009E73","False",""
"zcang","Zixuan Cang","College of Sciences","Mathematics","","False","3","32","#009E73","False",""
"eglazer","Phoebe Glazer","College of Sciences","Chemistry","","False","5","37","#009E73","False",""
"cpasala","Celen Pasalar","College of Design","Landscape Architecture and Environmental Planning","","False","1","2","#E74C3C","False",""
"jakamins","Jessica Kaminsky","College of Engineering","Civil, Construction and Environmental Engineering","","False","9","76","#0072B2","False",""
"rwgonzal","Ronalds Gonzalez","College of Natural Resources","Forest Biomaterials","","False","10","95","#9B59B6","False",""
"fsantos2","Frederico Freitas","College of Humanities and Social Sciences","History","","False","1","17","#CC79A7","False",""
"ldmcquee","LaTanya McQueen","College of Humanities and Social Sciences","English","","False","1","2","#CC79A7","False",""
"wshi3","Wei Shi","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","4","66","#E69F00","False",""
"achakra2","Aranya Chakrabortty","College of Engineering","Electrical and Computer Engineering","","False","21","196","#0072B2","False",""
"dpellet","Denis Pelletier","Poole College of Management","Economics","","False","2","19","#F0E442","False",""
"rbarker","Roger Barker","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","3","40","#1ABC9C","False",""
"acmclaug","Anne McLaughlin","College of Humanities and Social Sciences","Psychology","","False","7","107","#CC79A7","False",""
"armoorh2","Andy Moorhead","College of Veterinary Medicine","Clinical Sciences","","False","3","52","#56B4E9","False",""
"hliu4","H C Liu","College of Agriculture and Life Sciences","Animal Science","","False","1","38","#E69F00","False",""
"imgimeno","Isabel Gimeno","College of Veterinary Medicine","Population Health and Pathobiology","","False","4","50","#56B4E9","False",""
"agopalar","Ashok Gopalarathnam","College of Engineering","Mechanical and Aerospace Engineering","","False","2","48","#0072B2","False",""
"jcao22","Jie Cao","College of Agriculture and Life Sciences","Applied Ecology","","False","2","51","#E69F00","False",""
"alkwansa","Albert Kwansa","College of Engineering","Materials Science and Engineering","","False","1","21","#0072B2","False",""
"cmaltec","Christian Maltecca","College of Agriculture and Life Sciences","Animal Science","","False","10","214","#E69F00","False",""
"frey","Chris Frey","College of Engineering","Engineering Research","","False","6","132","#0072B2","False",""
"mchi","Min Chi","College of Engineering","Computer Science","","False","2","53","#0072B2","False",""
"seshelto","Sarah Shelton","College of Engineering","Biomedical Engineering","","False","1","43","#0072B2","False",""
"jggayles","Joy Gayles","College of Education","Educational Leadership, Policy, and Human Development","","False","4","25","#D55E00","False",""
"lester","James Lester","College of Engineering","Computer Science","","False","8","150","#0072B2","False",""
"xjiang5","Xiaoning Jiang","College of Engineering","Mechanical and Aerospace Engineering","","False","18","372","#0072B2","False",""
"cuomo","Jerome Cuomo","College of Engineering","Materials Science and Engineering","","False","1","5","#0072B2","False",""
"kaltofen","Erich Kaltofen","College of Sciences","Mathematics","","False","1","61","#009E73","False",""
"pmperkin","Penelope Perkins-Veazie","College of Agriculture and Life Sciences","Horticultural Science","","False","5","110","#E69F00","False",""
"jbudhat","Januka Budhathoki Uprety","Wilson College of Textiles","Textile Engineering, Chemistry and Science","","False","2","38","#1ABC9C","False",""
"cflynch","Collin Lynch","College of Engineering","Computer Science","","False","6","43","#0072B2","False",""
"mjbradsh","Michael Bradshaw","College of Agriculture and Life Sciences","Entomology and Plant Pathology","","False","3","67","#E69F00","False",""
"rsartor","Ryan Sartor","College of Agriculture and Life Sciences","Crop and Soil Sciences","","False","1","6","#E69F00","False",""
"kdgriege","Khara Grieger","College of Agriculture and Life Sciences","Applied Ecology","","False","1","76","#E69F00","False",""
"cbcoope3","Caren Cooper","College of Natural Resources","Forestry and Environmental Resources","","False","5","87","#9B59B6","False",""
"klan2","Kai Lan","College of Natural Resources","Forest Biomaterials","","False","1","47","#9B59B6","False",""
"mcsrougi","Melissa Srougi","College of Veterinary Medicine","Molecular Biomedical Sciences","","False","2","26","#56B4E9","False",""
"mlila","Mary Lila","College of Agriculture and Life Sciences","Kannapolis Research","","False","11","202","#E69F00","False",""
"rgcarbon","Ruben Carbonell","College of Engineering","Golden Leaf Biomanufacturing Training and Education Center","","False","2","83","#0072B2","False",""
"cwong9","Chau-Wai Wong","College of Engineering","Electrical and Computer Engineering","","False","4","46","#0072B2","False",""
"skoenig","Sebastian Koenig","College of Sciences","Physics","","False","2","46","#009E73","False",""
"hallen","Hans Hallen","College of Sciences","Physics","","False","6","58","#009E73","False",""
"adas8","Anupam Das","College of Engineering","Computer Science","","False","1","13","#0072B2","False",""
"jmgray2","Josh Gray","College of Natural Resources","Forestry and Environmental Resources","","False","4","47","#9B59B6","False",""
